상품명,키워드
화산송이 모공 바하 클렌징 폼 150g,"모공, 피지, 트러블, 각질, 여드름, 건성, 지성, 쫀쫀, 보습, 촉촉, 수분"
글루타 비타민C 토닝 앰플 23g,"탄력, 기미, 잡티, 트러블, 쫀쫀, 주름, 모공, 건성, 여드름, 수분, 각질, 보습, 지성, 진정, 피지, 촉촉, 예민"
UV프로텍터 톤업 SPF50+/PA++++ 50ml,"건성, 트러블, 수분, 잡티, 기미, 주름, 지성, 모공, 보습, 각질, 촉촉, 예민, 쫀쫀, 여드름, 산뜻, 탄력"
UV 쉴드 에센셜 톤업 선 SPF50+/PA++++ 50ml,"건성, 트러블, 잡티, 수분, 보습, 주름, 모공, 예민, 지성, 기미, 각질"
그린티 아미노 수분 클렌징 폼 150g,"수분, 트러블, 건성, 지성, 쫀쫀, 촉촉, 여드름"
에센셜 컴포트 데일리 루틴,"트러블, 탄력, 보습, 수분, 건성, 주름, 예민, 여드름, 촉촉"
톤업 노세범 선스크린 EX SPF50+/PA++++ 60ml,"건성, 지성, 여드름, 모공, 트러블, 피지, 수분, 기미, 보습, 각질"
에이시카 365 흔적 진정 세럼 40ml,"진정, 트러블, 여드름, 수분, 잡티, 보습, 건성, 지성, 기미, 촉촉, 쫀쫀, 모공, 각질, 주름, 피지, 산뜻, 탄력"
아토베리어365 크림 80ml 기획세트,"보습, 트러블, 건성, 수분, 진정, 지성, 여드름, 각질, 주름, 쫀쫀, 피지"
오가니언스 BR 소프트 필링 투 폼 클렌저 120ml,"각질, 트러블, 모공, 피지, 건성, 여드름, 보습, 수분, 지성, 진정, 촉촉, 예민"
레티놀 엑스퍼트 0.1% 30ml,"주름, 모공, 트러블, 탄력, 각질, 건성, 쫀쫀, 보습, 진정, 수분, 기미, 여드름, 잡티, 예민, 피지, 지성"
에이시카 365 소프트 진정 팩 패드 60매,"진정, 트러블, 여드름, 수분, 보습, 각질, 건성, 모공, 촉촉, 쫀쫀, 예민, 피지, 지성"
UV 쉴드 에센셜 선 프로텍터 SPF50+/PA++++ 50ml,"트러블, 건성, 수분, 주름, 보습, 지성, 모공, 촉촉, 잡티, 쫀쫀, 기미, 여드름, 탄력, 피지"
히알루론 모이스춰 수분크림 100ml,"수분, 보습, 트러블, 건성, 지성, 진정, 주름, 탄력, 여드름, 예민, 각질, 쫀쫀, 피지, 촉촉"
UV프로텍터 멀티디펜스 SPF50+/PA++++ 50ml,"건성, 트러블, 수분, 지성, 주름, 보습, 기미, 잡티, 촉촉, 여드름, 각질, 탄력, 예민, 모공"
탄력케어 에센셜 리추얼,"탄력, 트러블, 촉촉, 수분, 진정, 보습, 주름, 건성, 산뜻, 쫀쫀"
오가니언스 워터리 에센스 230ml,"트러블, 수분, 진정, 보습, 각질, 건성, 여드름, 피지, 지성, 촉촉, 탄력, 예민, 쫀쫀, 모공"
비자 트러블 클렌징폼 150g,"트러블, 여드름, 진정, 피지, 건성, 지성, 모공, 각질, 쫀쫀, 수분, 잡티, 산뜻"
본윤 데일리 루틴,"수분, 트러블, 건성, 지성, 탄력, 주름, 쫀쫀, 보습"
에이시카 365 수분 진정 결 토너 250ml,"진정, 수분, 각질, 트러블, 여드름, 보습, 건성, 모공, 지성, 예민, 쫀쫀, 촉촉"
부들밤x크렘드마롱 듀오 선물세트,"각질, 피지, 모공, 트러블, 건성, 진정, 보습, 촉촉, 여드름, 지성, 탄력, 수분"
순행클렌징폼 400ml,"보습, 수분, 피지, 촉촉, 각질, 예민, 건성, 트러블, 여드름"
탄력크림 단품세트 75ml,"탄력, 트러블, 건성, 보습, 수분, 주름, 쫀쫀, 촉촉, 진정"
모이스트 클렌징 휘핑폼 180ml,"트러블, 건성, 각질, 쫀쫀, 보습, 수분, 모공, 피지, 여드름, 촉촉, 지성"
어린쑥 진정맑은 클렌징 폼 120g,"진정, 트러블, 건성, 쫀쫀, 수분, 보습, 모공, 지성, 여드름, 피지, 각질, 탄력, 촉촉, 예민, 산뜻"
멜라솔브 프로그램 딥 클렌징 폼 200g,"각질, 트러블, 건성, 수분, 모공, 지성, 피지, 여드름, 쫀쫀, 보습, 잡티, 촉촉, 기미"
바이오 컨디셔닝 에센스 하이드로 인핸싱 마스크 5매,"수분, 보습, 트러블, 진정, 주름, 건성, 탄력, 쫀쫀, 촉촉, 지성, 각질, 여드름, 잡티"
그린티 아미노 수분 클렌징 워터 320ml,"트러블, 수분, 여드름, 촉촉, 건성, 보습, 지성, 각질"
크림스킨 170ml,"건성, 수분, 각질, 보습, 여드름, 트러블, 진정, 지성"
올리브 리얼 클렌징 티슈 30매,"보습, 트러블, 건성, 수분, 각질, 촉촉, 피지, 여드름"
어린쑥 수분진정 크림 55ml,"수분, 진정, 트러블, 건성, 여드름, 보습, 지성, 촉촉, 주름, 쫀쫀, 모공, 탄력"
그린티 씨드 히알루론산 세럼 80ml,"수분, 트러블, 보습, 건성, 진정, 지성, 촉촉, 탄력, 주름, 쫀쫀, 여드름"
아토베리어 365 하이드로 수딩크림 60ml,"수분, 진정, 트러블, 건성, 지성, 여드름, 보습, 탄력, 쫀쫀"
레티놀 엑스퍼트 0.3% 20ml,"주름, 모공, 각질, 트러블, 탄력, 건성, 보습, 쫀쫀, 기미, 피지, 지성, 여드름, 진정, 잡티, 수분"
레티놀 슈퍼 바운스 세럼 50ml,"주름, 탄력, 트러블, 모공, 보습, 수분, 쫀쫀, 건성, 진정, 기미, 각질, 피지, 잡티, 예민, 지성, 촉촉, 여드름"
수퍼 화산송이 모공 마스크 100ml,"모공, 피지, 각질, 트러블, 여드름, 건성, 지성, 진정, 수분, 보습, 쫀쫀, 탄력, 예민, 촉촉"
슈퍼바이탈 기초 2종 세트,"건성, 보습, 탄력, 주름, 수분, 트러블, 쫀쫀, 촉촉, 지성, 각질, 기미, 진정"
레티놀 시카 흔적 앰플 50ml,"트러블, 여드름, 모공, 잡티, 각질, 진정, 주름, 탄력, 수분, 피지, 기미, 건성, 쫀쫀"
0.2 테라피 에어 마스크  20ml,"수분, 트러블, 진정, 보습, 탄력, 여드름, 건성, 촉촉, 각질"
알파인베리 워터리 크림 100ml,"수분, 보습, 트러블, 건성, 진정, 촉촉, 지성, 탄력, 주름, 쫀쫀, 여드름, 모공, 각질"
오가니언스 베리어 리페어 2종 기획 세트,"보습, 트러블, 건성, 수분, 여드름, 탄력, 지성, 각질, 쫀쫀, 주름, 촉촉"
UV프로텍터 멀티디펜스 프레쉬 SPF50+/PA++++ 50ml,"수분, 건성, 트러블, 기미, 주름, 보습, 지성, 잡티, 여드름, 촉촉, 각질, 탄력, 산뜻, 쫀쫀"
그린티 씨드 히알루론산 크림 50ml,"수분, 트러블, 건성, 여드름, 보습, 지성, 촉촉, 쫀쫀"
윤조에센스,"수분, 트러블, 건성, 주름, 탄력, 여드름, 각질, 보습, 진정, 촉촉, 모공, 쫀쫀, 예민"
백화고 클렌징 마사지 크림 250ml,"건성, 트러블, 보습, 각질, 수분, 지성, 주름, 피지, 여드름, 진정, 탄력, 촉촉"
하이드로 리플렉팅 마이크로 크림 50ml,"수분, 건성, 트러블, 주름, 진정, 탄력, 보습, 쫀쫀, 지성"
알로에 리바이탈 수딩젤 300ml,"진정, 수분, 트러블, 보습, 건성, 여드름, 지성, 피지, 모공, 예민, 잡티"
자음수 150ml,"보습, 건성, 트러블, 주름, 진정, 수분, 쫀쫀, 탄력, 각질, 산뜻, 촉촉"
알파인베리 워터리 크림 75ml,"수분, 트러블, 보습, 건성, 진정, 지성, 여드름, 쫀쫀, 각질, 예민, 촉촉, 탄력, 주름"
모이스트 클렌징 오일 200ml,"트러블, 건성, 피지, 각질, 보습, 모공, 산뜻, 수분, 촉촉, 주름, 기미, 잡티"
레티놀 시카 앰플 포커싱 패치 1개입 9매,"트러블, 진정, 여드름, 잡티, 피지, 지성, 기미"
